E,j,gamma,g,allowed transitions,HF
30480.67,2.5,56925285.895259775,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
30804.22,0.5,8300438.07008309,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
31348.24,3.5,72800058.34984387,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
31799.3,3.5,247416868.06705472,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
31846.87,0.5,96321849.41021693,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
31931.25,1.5,237872291.4099557,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
31931.43,2.5,92335347.2510084,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
31931.94,0.5,74805573.30133636,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
32338.66,1.5,210474852.05177277,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
32603.06,4.5,148634.6528621336,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
32741.66,3.5,653178.4702913924,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
