E,j,gamma,g,allowed transitions,HF
15428.71,3.5,0.7677278930476411,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
15992.65,0.5,170693.16479638123,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
16944.85,4.5,0.0,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
17056.18,0.5,937991.6468116823,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
17216.64,2.5,22079.43836552301,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
17622.41,1.5,4887538.8553589,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
17718.65,3.5,1216149.3945259883,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
18238.18,2.5,4677399.5875997,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
18331.22,3.5,1362.8886629689548,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
18668.53,2.5,2320251.5640449086,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
18698.58,1.5,36175.63535928657,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
19067.96,1.5,1033468.996158223,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
20180.67,3.5,972600.3655705793,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
20485.53,4.5,379439.37827411783,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
20516.16,0.5,756248.8406021921,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
